,0
id,0.006990532147858766
income,0.031239951538154977
name_email_similarity,-0.06836339754072134
current_address_months_count,0.04077527766296359
customer_age,0.059280809131200804
days_since_request,-0.007058335290569302
intended_balcon_amount,-0.0004529951692057303
zip_count_4w,0.026947257370843997
velocity_6h,-0.02726557048537793
velocity_24h,-0.015722606770134855
velocity_4w,0.00403995520933399
bank_branch_count_8w,-0.0007662072780751841
date_of_birth_distinct_emails_4w,-0.04678728217293475
credit_risk_score,0.06467938443194762
email_is_free,0.011431666012429337
phone_home_valid,-0.028656416975604577
phone_mobile_valid,-0.017528425235524416
bank_months_count,0.028595088990601696
has_other_cards,-0.041975401629518766
proposed_credit_limit,0.08792765496399202
foreign_request,0.03166384770496229
session_length_in_minutes,0.0033139890340479856
keep_alive_session,-0.036688241177309275
device_distinct_emails_8w,0.05579313186344124
month,0.0034902035156292436
x0_AA,-0.02342347705900739
x0_AB,0.028042536971303975
x0_AD,-0.007311611737216452
x0_infrequent_sklearn,-0.0011865473383879787
x0_CA,0.015578226812857964
x0_CB,-0.012814311506217068
x0_CC,0.0011816752065572957
x0_CD,-0.014269020457242255
x0_CE,-0.0028117845739660105
x0_CF,4.277272653741679e-05
x0_CG,-0.001200218387601955
x0_BA,0.14775603290658879
x0_BB,-0.012510437587092436
x0_BC,-0.06238267753514844
x0_BD,-0.0021646960973521947
x0_BE,-0.0451841986408274
x0_BF,-0.004161629426745611
x0_INTERNET,0.006133178452263853
x0_TELEAPP,-0.0061331784522638344
x0_linux,-0.03873399245359178
x0_macintosh,0.019591756674932168
x0_other,-0.02572941745243614
x0_windows,0.05997275008364655
x0_x11,-0.008608485287936167
