id,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,payment_type,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,source,session_length_in_minutes,device_os,keep_alive_session,device_distinct_emails_8w,device_fraud_count,month,is_fraud
1,0.6000000000000001,0.15868895369668698,-1,10,50,0.029968534049531908,-1.2732937081719211,AB,1116,12784.626435232814,7562.539999924348,5006.057665167205,1,12,CA,208,1,BC,0,1,1,0,1000,0,INTERNET,1.1331393129464655,linux,1,1,0,0,0
2,0.6000000000000001,0.6218292349870806,-1,157,30,0.007106859003426861,-0.6938185793870211,AB,4224,5365.220443941977,6006.278814096082,6692.592804543865,0,7,CA,160,0,BE,0,1,-1,0,1500,0,INTERNET,3.047326966065169,other,1,1,0,0,0
3,0.30000000000000004,0.1206392023172787,-1,31,30,0.03009173199306747,-1.6562949818912935,AB,1507,8396.153275514138,6522.299935605925,6757.6358537729575,1949,23,CA,88,1,BC,0,1,1,0,200,0,INTERNET,2.984208382770518,other,1,1,0,0,0
4,0.8,0.8480746369336339,-1,185,50,3.0844635652825136,-0.9154405965318452,AB,942,7607.542382855821,6712.197200504861,5827.1821355515685,1,15,CD,36,0,BE,0,1,30,0,200,1,INTERNET,41.142700384105396,linux,0,1,0,0,0
5,0.6000000000000001,0.5262827142541167,79,12,40,0.02414615881876837,-0.9914873427308092,AC,760,942.043651446421,5586.299863886305,6735.135627708857,0,7,CA,98,1,BB,1,1,-1,0,200,0,INTERNET,5.670364538021732,other,1,1,0,0,0
6,0.7000000000000001,0.13515739018937306,-1,59,50,0.006604618820071723,-1.7773216724391283,AC,1150,4590.034950055673,3480.9978251818093,5930.091817375266,4,0,CA,230,1,BB,1,1,4,0,1000,0,INTERNET,11.96756011109235,linux,1,1,0,0,0
7,0.9,0.7982340066491346,-1,89,40,0.04195854270589012,-1.7620618874925655,AD,5071,10878.717313343055,6629.176332761467,6373.131421488551,5,22,CB,202,1,BA,1,1,1,0,1500,0,INTERNET,6.200907042707789,linux,1,1,0,0,0
8,0.30000000000000004,0.1811005456861526,-1,29,30,0.004186371105332085,-1.7361373940741598,AB,2813,7055.917711442839,7416.730226088993,6682.568725805147,13,23,CD,146,0,BA,0,1,1,0,200,0,INTERNET,2.7201694525938778,windows,0,1,0,0,0
9,0.6000000000000001,0.2417751866144605,-1,4,20,0.018059760047674282,-1.3026267440804986,AD,902,15350.365879930894,6646.862949899638,6025.321608759159,5,17,CA,52,1,BB,0,1,1,0,200,0,INTERNET,3.7824339979746986,other,0,2,0,0,0
10,0.7000000000000001,0.9197671769488016,20,6,30,0.01088696801997152,-1.1427296184139093,AB,5453,3568.4094145471727,5761.556150473126,6902.944895399305,4,18,CB,126,1,BC,1,1,30,1,200,0,INTERNET,4.640733816774207,other,1,1,0,0,0
11,0.6000000000000001,0.1467114510973654,-1,61,20,0.8178342430087051,12.114159830089829,AA,1451,6502.736382441894,6671.746792122522,6011.644952769506,40,14,CA,30,1,BB,0,1,25,0,200,0,INTERNET,1.7268019843059623,linux,1,1,0,0,0
12,0.1,0.5310241233412248,-1,189,50,0.02499350360371795,-1.3486348172918152,AB,640,6762.765710749626,5433.075422226127,6373.346243663528,23,4,CB,155,1,BB,1,0,30,0,500,0,INTERNET,3.872352985096063,linux,1,1,0,0,0
13,0.6000000000000001,0.06564017101997778,-1,42,40,0.00975110965729368,26.09469631995561,AA,1287,2785.8357627512687,5967.544228089135,6635.110177757048,34,15,CA,186,1,BC,0,1,30,0,200,0,INTERNET,9.64591025650514,macintosh,0,1,0,0,0
14,0.8,0.09758785475904014,-1,7,50,0.02373185157180447,-0.7426121980697806,AB,1769,4252.929019484857,4837.127872476587,4876.996437314997,10,2,CB,240,1,BA,0,1,5,0,1500,0,INTERNET,43.456579820295154,windows,0,1,0,0,0
